path,sha256,bytes,origin,author_or_rightsholder,license_spdx,license_evidence,runtime_role,redistribution_status,disposition,verification_needed
.project,f025bd4ea4ec1918467e4c030bfa520932c91614efe1151cb873e33dcba5a7ae,424,Legacy ARDS CLAMP export,CLAMP or Eclipse project generator,NOASSERTION,None found,Windows handoff only,unresolved,exclude from public distribution,Confirm generator ownership and terms
Components/ARDS.pipeline,48cc1f166c5b8518ada4da186988858a15152e864061bcdabcbf1626bd80fc96,518,Authorized legacy ARDS phenotype export,Dan Knox,MIT,Permission for the custom design and MIT re-expression confirmed,Design provenance only,cleared,exclude original export and retain MIT JSON re-expression,Completed 2026-07-12
Components/Assertion classifier/DF_NegEx_assertion/config.conf,255c57351d382c362c1a167ceca9cfb404dfad24a8e1ecd2156051a1af6dac09,153,Legacy ARDS CLAMP export,CLAMP resource author unverified,NOASSERTION,None found,Configuration re-expressed in the MIT phenotype specification,unresolved,exclude original export,No redistribution needed
Components/Assertion classifier/DF_NegEx_assertion/defaultNegexDict.txt,504beb15f9ce8cf7eec5db25d275a6a6a9b8ead2dc92f0d12b1ef4fd31714239,7213,Legacy ARDS CLAMP export,CLAMP or upstream NegEx author unverified,NOASSERTION,None found,Python behavior required,unresolved,user-supplied local resource boundary,Establish source authorship and redistribution license
Components/Named entity recogizer/DF_Dictionary_lookup/config.conf,6165d4995e18a4391d377bdabf7c8e25ccbd6675640f263a88a0ba6c8444599e,219,Authorized legacy ARDS phenotype export,Dan Knox,MIT,Permission for the custom design and MIT re-expression confirmed,Design provenance only,cleared,exclude original export and retain MIT JSON re-expression,Completed 2026-07-12
Components/Named entity recogizer/DF_Dictionary_lookup/defaultDict.txt,f8642b04c88014731f5e0224b8ccd64e1dcb8c0bee8bd66a8c964088913f7e61,496,Authorized legacy ARDS phenotype export,Dan Knox,MIT,Permission for the custom dictionary and MIT re-expression confirmed,Dictionary design provenance only,cleared,exclude original export and retain MIT JSON re-expression,Completed 2026-07-12
Components/POS tagger/DF_OpenNLP_POS_tagger/config.conf,1f83bc638a23f27823b9989ef83784a2501bc04e8e9015a077748289469c4331,153,Legacy ARDS CLAMP export,CLAMP resource author unverified,NOASSERTION,None found,Not used by Python mirror,unresolved,exclude and retain only fingerprint provenance,Confirm no compatibility dependency
Components/POS tagger/DF_OpenNLP_POS_tagger/default_pos.bin,6bfb498a2a5314ccf3fd8f549141a162f8088d7c90b0ee27e75ad2ed07d5b757,207996,Legacy ARDS CLAMP export,Model author and training corpus unverified,NOASSERTION,Embedded OpenNLP 1.5.1 metadata is not model-license evidence,Not used by Python mirror,unresolved,exclude and retain only fingerprint provenance,Establish model and training-corpus rights if future use is proposed
Components/Ruta rule engine/DF_Ruta_script_file/config.conf,a5e63135404c801ff77d32816071b8ab07fd65a75f4807745ce4bf10e14490e1,142,Authorized legacy ARDS phenotype export,Dan Knox,MIT,Permission for the custom design and MIT re-expression confirmed,Design provenance only,cleared,exclude original export and retain MIT JSON re-expression,Completed 2026-07-12
Components/Ruta rule engine/DF_Ruta_script_file/default.ruta,b9dab7c7b6b062ceba19d94bcc7a5bf4abd83f890f8bb3494e86a40f50548e76,1848,Authorized legacy ARDS phenotype export,Dan Knox,MIT,Permission for the custom rules and MIT re-expression confirmed,Rule design provenance only,cleared,exclude original export and retain MIT JSON re-expression,Completed 2026-07-12
Components/Sentence detector/DF_Clamp_sentence_detector/config.conf,fe91947055a1a86279492b650dc3e4a470fb96151ae6a9e35bf94cde64712416,376,Authorized legacy ARDS phenotype export,Dan Knox,MIT,Permission for the pipeline choices and MIT re-expression confirmed,Configuration provenance only,cleared,exclude original export and retain MIT JSON re-expression,Completed 2026-07-12
Components/Sentence detector/DF_Clamp_sentence_detector/defaultAbbrs.txt,1577f0ec72f4302544de8f131dcf85fdde2af4ad4e44b5c1fde3f228e21a0d9e,237816,Legacy ARDS CLAMP export,CLAMP resource author unverified,NOASSERTION,None found,Python behavior required,unresolved,user-supplied local resource boundary,Establish list provenance and redistribution license
Components/Sentence detector/DF_Clamp_sentence_detector/sectionHeaders.txt,8069f246e1b01f4207a4efd6b0615f7c2d0b00f8539e87b9868c604a2a080a5e,301,Legacy ARDS CLAMP export,CLAMP resource author unverified,NOASSERTION,None found,Not used by Python mirror,unresolved,exclude and retain only fingerprint provenance,Confirm no compatibility dependency
Components/Sentence detector/DF_Clamp_sentence_detector/splitPatterns.txt,b4271c7c7728679738097faf460dabeec39863da598a841e81fb429950e8aee7,197,Legacy ARDS CLAMP export,CLAMP resource author unverified,NOASSERTION,None found,Not used by Python mirror,unresolved,exclude and retain only fingerprint provenance,Confirm no compatibility dependency
Components/Tokenizer/DF_Clamp_tokenizer/config.conf,36b2758c66ff805b6f3307e9a5970d8fa64a6a001dc7bd2dd5e6406a321ff59d,154,Legacy ARDS CLAMP export,CLAMP resource author unverified,NOASSERTION,None found,Python behavior required,unresolved,user-supplied local resource boundary,Obtain affirmative redistribution evidence
Components/Tokenizer/DF_Clamp_tokenizer/defaultTokenRule.txt,cd83f8f4947b628c8a8fc1ffdea0019361c5d93220490dba10f5173e2d6a5eb0,467,Legacy ARDS CLAMP export,CLAMP resource author unverified,NOASSERTION,None found,Python behavior required,unresolved,user-supplied local resource boundary,Establish rule provenance and redistribution license
descriptor/BasicEngine.xml,b334187624e137ae511bd87083159225c8226d306165baac4da40cc352f96ea9,9499,Legacy ARDS CLAMP export,Melax Technologies Inc.,Apache-2.0,Embedded Apache-2.0 source header,Not used by Python mirror,cleared,exclude because unnecessary,If retained add Apache license and notice obligations
descriptor/BasicTypeSystem.xml,cf22da46b1d6805c8719f4f2363908f44e93be5bf78380ea711b43f024ea7a8b,7466,Legacy ARDS CLAMP export,Melax Technologies Inc.,Apache-2.0,Embedded Apache-2.0 source header,Not used by Python mirror,cleared,exclude because unnecessary,If retained add Apache license and notice obligations
descriptor/ClampTypeSystem.xml,6a615c9f4e50242110b5d19e6c6b33da74ff0775804751c4b0d14c5efdda3b10,154622,Legacy ARDS CLAMP export,Melax Technologies Inc.,Apache-2.0,Embedded Apache-2.0 source header,Not used by Python mirror,cleared,exclude because unnecessary,If retained add Apache license and notice obligations
descriptor/InternalTypeSystem.xml,b204b8f39e3a5991432d89fe1fbb682518a683fd374d8dc6c06668028d69d04e,12620,Legacy ARDS CLAMP export,Melax Technologies Inc.,Apache-2.0,Embedded Apache-2.0 source header,Not used by Python mirror,cleared,exclude because unnecessary,If retained add Apache license and notice obligations
descriptor/defaultEngine.xml,06f8a6a0a04cd3202edb23f479e3f23b68056daa9ac19009500fb0af36080551,12231,Legacy ARDS CLAMP export,Author unverified,NOASSERTION,None found,Not used by Python mirror,unresolved,exclude from public distribution,Determine whether generated wrapper inherits a license
descriptor/defaultTypeSystem.xml,e32b25c22123654247333aa55ba6071e4da2f52459bb8b70019c37f5fe421434,250,Legacy ARDS CLAMP export,Author unverified,NOASSERTION,None found,Not used by Python mirror,unresolved,exclude from public distribution,Determine whether generated wrapper inherits a license
functionality.md,ab9720b8a0180f8c16a58e15651491309e4d5bb0d638553f291ad5f6a2c7b198,20272,Private archive documentation,Repository contributors,MIT,Private archive provenance,Historical documentation only,cleared,exclude original export and use independently authored public documentation,Completed 2026-07-12
